,t,t_date,RA,Dec,VR
47,2021.32923,2021-01-05,0.02592,0.14010,-921
48,2021.82204,2021-28-10,0.02077,0.15013,-821
49,2022.31485,2022-25-04,0.01536,0.15833,-730
50,2022.80767,2022-22-10,0.00978,0.16494,-647
51,2023.30048,2023-20-04,0.00413,0.17012,-569
52,2023.79329,2023-17-10,-0.00157,0.17399,-494
53,2024.28611,2024-14-04,-0.00725,0.17666,-423
54,2024.77892,2024-11-10,-0.01289,0.17820,-354
55,2025.27173,2025-10-04,-0.01845,0.17866,-286
56,2025.76454,2025-07-10,-0.02391,0.17809,-218
57,2026.25736,2026-04-04,-0.02923,0.17651,-151
58,2026.75017,2026-01-10,-0.03439,0.17395,-83
59,2027.24298,2027-30-03,-0.03937,0.17042,-13
60,2027.73580,2027-26-09,-0.04411,0.16592,58
61,2028.22861,2028-24-03,-0.04861,0.16045,132
62,2028.72142,2028-20-09,-0.05280,0.15398,209
63,2029.21424,2029-20-03,-0.05664,0.14650,292
64,2029.70705,2029-16-09,-0.06008,0.13797,381
65,2030.19986,2030-14-03,-0.06304,0.12832,478
66,2030.69268,2030-10-09,-0.06541,0.11750,586
67,2031.18549,2031-09-03,-0.06708,0.10540,709
68,2031.67830,2031-05-09,-0.06786,0.09190,853
69,2032.17112,2032-03-03,-0.06746,0.07682,1029
70,2032.66393,2032-30-08,-0.06544,0.05990,1256
71,2033.15674,2033-27-02,-0.06094,0.04075,1576
72,2033.23888,2033-29-03,-0.05985,0.03730,1644
73,2033.32101,2033-28-04,-0.05862,0.03378,1718
74,2033.40315,2033-28-05,-0.05725,0.03017,1800
75,2033.48528,2033-27-06,-0.05572,0.02647,1890
76,2033.56742,2033-27-07,-0.05400,0.02268,1990
77,2033.64956,2033-26-08,-0.05205,0.01880,2103
78,2033.73169,2033-25-09,-0.04985,0.01482,2232
79,2033.81383,2033-25-10,-0.04732,0.01075,2380
80,2033.89596,2033-24-11,-0.04440,0.00659,2555
81,2033.97810,2033-24-12,-0.04098,0.00235,2764
82,2034.06023,2034-22-01,-0.03690,-0.00192,3019
83,2034.14237,2034-21-02,-0.03190,-0.00614,3336
84,2034.22450,2034-23-03,-0.02552,-0.01008,3722
85,2034.30664,2034-22-04,-0.01692,-0.01307,4081
86,2034.32580,2034-29-04,-0.01446,-0.01346,4107
87,2034.34497,2034-06-05,-0.01179,-0.01365,4073
88,2034.36413,2034-13-05,-0.00890,-0.01359,3944
89,2034.36961,2034-15-05,-0.00803,-0.01351,3884
90,2034.37509,2034-17-05,-0.00715,-0.01341,3812
91,2034.38056,2034-19-05,-0.00626,-0.01328,3726
92,2034.38604,2034-21-05,-0.00534,-0.01311,3627
93,2034.39151,2034-23-05,-0.00442,-0.01292,3513
94,2034.39699,2034-25-05,-0.00348,-0.01269,3385
95,2034.40246,2034-27-05,-0.00254,-0.01243,3241
96,2034.40520,2034-28-05,-0.00206,-0.01228,3164
97,2034.40794,2034-29-05,-0.00159,-0.01213,3084
98,2034.41068,2034-30-05,-0.00111,-0.01197,3000
99,2034.41342,2034-31-05,-0.00063,-0.01179,2913
100,2034.41615,2034-01-06,-0.00016,-0.01162,2823
101,2034.41889,2034-02-06,0.00032,-0.01143,2730
102,2034.42163,2034-03-06,0.00080,-0.01123,2634
103,2034.42437,2034-04-06,0.00128,-0.01103,2536
104,2034.42710,2034-05-06,0.00175,-0.01081,2436
105,2034.42984,2034-06-06,0.00223,-0.01059,2334
106,2034.43258,2034-07-06,0.00270,-0.01036,2230
107,2034.43532,2034-08-06,0.00317,-0.01012,2125
108,2034.43806,2034-09-06,0.00364,-0.00988,2019
109,2034.44079,2034-10-06,0.00410,-0.00963,1912
110,2034.44627,2034-12-06,0.00502,-0.00910,1698
111,2034.45175,2034-14-06,0.00593,-0.00855,1485
112,2034.45722,2034-16-06,0.00681,-0.00797,1275
113,2034.46270,2034-18-06,0.00768,-0.00738,1069
114,2034.48186,2034-25-06,0.01055,-0.00516,408
115,2034.50103,2034-02-07,0.01315,-0.00280,-137
116,2034.58316,2034-01-08,0.02143,0.00741,-1367
117,2034.66530,2034-31-08,0.02664,0.01673,-1728
118,2034.74743,2034-30-09,0.03015,0.02503,-1824
119,2034.82957,2034-30-10,0.03264,0.03249,-1832
120,2034.91170,2034-29-11,0.03446,0.03929,-1806
121,2034.99384,2034-29-12,0.03580,0.04556,-1766
122,2035.07598,2035-28-01,0.03678,0.05137,-1722
123,2035.15811,2035-27-02,0.03750,0.05681,-1677
124,2035.24025,2035-29-03,0.03799,0.06192,-1632
125,2035.32238,2035-28-04,0.03831,0.06674,-1589
126,2035.40452,2035-28-05,0.03848,0.07131,-1548
127,2035.89733,2035-24-11,0.03746,0.09463,-1336
128,2036.39014,2036-22-05,0.03439,0.11294,-1172
129,2036.88296,2036-18-11,0.03024,0.12777,-1037
130,2037.37577,2037-18-05,0.02544,0.13995,-923
131,2037.86858,2037-14-11,0.02024,0.14996,-822
132,2038.36140,2038-12-05,0.01479,0.15814,-731
133,2038.85421,2038-08-11,0.00919,0.16473,-647
134,2039.34702,2039-07-05,0.00350,0.16989,-569
135,2039.83984,2039-03-11,-0.00221,0.17375,-494
136,2040.33265,2040-01-05,-0.00791,0.17640,-423
137,2040.82546,2040-28-10,-0.01357,0.17792,-354
138,2041.31828,2041-27-04,-0.01914,0.17837,-285
139,2041.81109,2041-24-10,-0.02460,0.17778,-218
140,2042.30390,2042-21-04,-0.02993,0.17619,-150
141,2042.79671,2042-18-10,-0.03509,0.17363,-82
142,2043.28953,2043-16-04,-0.04005,0.17009,-13
143,2043.78234,2043-13-10,-0.04479,0.16558,59
144,2044.27515,2044-10-04,-0.04927,0.16010,133
145,2044.76797,2044-07-10,-0.05344,0.15364,210
146,2045.26078,2045-06-04,-0.05726,0.14616,293
147,2045.75359,2045-03-10,-0.06067,0.13763,382
148,2046.24641,2046-31-03,-0.06360,0.12799,479
149,2046.73922,2046-27-09,-0.06594,0.11718,587
150,2047.23203,2047-26-03,-0.06757,0.10510,710
151,2047.72485,2047-22-09,-0.06830,0.09163,854
152,2048.21766,2048-20-03,-0.06785,0.07657,1030
153,2048.71047,2048-16-09,-0.06577,0.05969,1256
154,2049.20329,2049-16-03,-0.06121,0.04060,1575
155,2049.28542,2049-15-04,-0.06011,0.03716,1643
156,2049.36756,2049-15-05,-0.05888,0.03365,1717
157,2049.44969,2049-14-06,-0.05750,0.03005,1798
158,2049.53183,2049-14-07,-0.05595,0.02637,1888
159,2049.61396,2049-13-08,-0.05422,0.02259,1988
160,2049.69610,2049-12-09,-0.05227,0.01873,2100
161,2049.77823,2049-12-10,-0.05005,0.01477,2228
162,2049.86037,2049-11-11,-0.04752,0.01071,2375
163,2049.94251,2049-11-12,-0.04460,0.00657,2549
164,2050.02464,2050-09-01,-0.04118,0.00235,2756
165,2050.10678,2050-08-02,-0.03710,-0.00190,3008
166,2050.18891,2050-10-03,-0.03211,-0.00610,3322
167,2050.27105,2050-09-04,-0.02577,-0.01003,3703
168,2050.35318,2050-09-05,-0.01726,-0.01304,4066
169,2050.37235,2050-16-05,-0.01482,-0.01345,4098
170,2050.39151,2050-23-05,-0.01218,-0.01366,4074
171,2050.41068,2050-30-05,-0.00932,-0.01363,3960
172,2050.42984,2050-06-06,-0.00625,-0.01329,3716
173,2050.43532,2050-08-06,-0.00534,-0.01312,3616
174,2050.44079,2050-10-06,-0.00441,-0.01293,3503
175,2050.44627,2050-12-06,-0.00348,-0.01269,3374
176,2050.45175,2050-14-06,-0.00253,-0.01243,3231
177,2050.45448,2050-15-06,-0.00206,-0.01228,3154
178,2050.45722,2050-16-06,-0.00158,-0.01213,3074
179,2050.45996,2050-17-06,-0.00110,-0.01197,2990
180,2050.46270,2050-18-06,-0.00063,-0.01180,2903
181,2050.46543,2050-19-06,-0.00015,-0.01162,2813
182,2050.46817,2050-20-06,0.00033,-0.01143,2720
183,2050.47091,2050-21-06,0.00081,-0.01123,2624
184,2050.47365,2050-22-06,0.00128,-0.01102,2526
185,2050.47639,2050-23-06,0.00176,-0.01081,2426
186,2050.47912,2050-24-06,0.00223,-0.01059,2324
187,2050.48186,2050-25-06,0.00271,-0.01036,2220
188,2050.48460,2050-26-06,0.00318,-0.01012,2115
189,2050.48734,2050-27-06,0.00364,-0.00987,2009
190,2050.49008,2050-28-06,0.00411,-0.00962,1903
191,2050.49555,2050-30-06,0.00503,-0.00909,1688
192,2050.50103,2050-02-07,0.00593,-0.00854,1475
193,2050.50650,2050-04-07,0.00682,-0.00796,1264
194,2050.51198,2050-06-07,0.00769,-0.00736,1059
195,2050.53114,2050-13-07,0.01056,-0.00514,397
196,2050.55031,2050-20-07,0.01314,-0.00278,-149
197,2050.63244,2050-19-08,0.02141,0.00745,-1378
198,2050.71458,2050-18-09,0.02659,0.01678,-1738
199,2050.79671,2050-18-10,0.03008,0.02508,-1833
200,2050.87885,2050-17-11,0.03255,0.03255,-1840
201,2050.96099,2050-17-12,0.03435,0.03935,-1812
202,2051.04312,2051-16-01,0.03566,0.04561,-1772
203,2051.12526,2051-15-02,0.03663,0.05142,-1727
204,2051.20739,2051-17-03,0.03732,0.05685,-1682
205,2051.28953,2051-16-04,0.03780,0.06196,-1637
206,2051.37166,2051-16-05,0.03810,0.06678,-1593
207,2051.45380,2051-15-06,0.03825,0.07134,-1552
208,2051.94661,2051-12-12,0.03714,0.09464,-1338
209,2052.43943,2052-09-06,0.03400,0.11291,-1173
210,2052.93224,2052-06-12,0.02978,0.12771,-1038
211,2053.42505,2053-05-06,0.02493,0.13985,-924
212,2053.91786,2053-02-12,0.01968,0.14984,-822
213,2054.41068,2054-30-05,0.01419,0.15799,-731
214,2054.90349,2054-26-11,0.00856,0.16455,-647
215,2055.39630,2055-25-05,0.00284,0.16968,-569
216,2055.88912,2055-21-11,-0.00289,0.17351,-494
217,2056.38193,2056-19-05,-0.00861,0.17614,-422
218,2056.87474,2056-15-11,-0.01428,0.17764,-353
219,2057.36756,2057-15-05,-0.01986,0.17807,-285
220,2057.86037,2057-11-11,-0.02532,0.17746,-217
221,2058.35318,2058-09-05,-0.03065,0.17586,-149
222,2058.84600,2058-05-11,-0.03581,0.17328,-81
223,2059.33881,2059-04-05,-0.04076,0.16973,-11
224,2059.83162,2059-31-10,-0.04549,0.16521,60
225,2060.32444,2060-28-04,-0.04995,0.15972,134
226,2060.81725,2060-25-10,-0.05411,0.15325,212
227,2061.31006,2061-24-04,-0.05791,0.14577,294
228,2061.80287,2061-21-10,-0.06129,0.13724,383
229,2062.29569,2062-18-04,-0.06418,0.12760,480
230,2062.78850,2062-15-10,-0.06648,0.11680,588
231,2063.28131,2063-13-04,-0.06807,0.10473,711
232,2063.77413,2063-10-10,-0.06875,0.09127,856
233,2064.26694,2064-07-04,-0.06824,0.07624,1031
234,2064.75975,2064-04-10,-0.06609,0.05938,1258
235,2065.25257,2065-03-04,-0.06145,0.04033,1577
236,2065.33470,2065-03-05,-0.06033,0.03691,1645
237,2065.41684,2065-02-06,-0.05908,0.03340,1719
238,2065.49897,2065-02-07,-0.05769,0.02981,1800
239,2065.58111,2065-01-08,-0.05613,0.02614,1889
240,2065.66324,2065-31-08,-0.05438,0.02238,1989
241,2065.74538,2065-30-09,-0.05241,0.01852,2101
242,2065.82752,2065-30-10,-0.05018,0.01458,2229
243,2065.90965,2065-29-11,-0.04763,0.01054,2376
244,2065.99179,2065-29-12,-0.04469,0.00641,2549
245,2066.07392,2066-27-01,-0.04125,0.00221,2755
246,2066.15606,2066-26-02,-0.03715,-0.00202,3007
247,2066.23819,2066-28-03,-0.03215,-0.00620,3319
248,2066.32033,2066-27-04,-0.02578,-0.01010,3699
249,2066.40246,2066-27-05,-0.01725,-0.01308,4058
250,2066.42163,2066-03-06,-0.01482,-0.01348,4089
251,2066.44079,2066-10-06,-0.01217,-0.01369,4064
252,2066.45996,2066-17-06,-0.00931,-0.01365,3950
253,2066.46543,2066-19-06,-0.00845,-0.01359,3896
254,2066.47091,2066-21-06,-0.00758,-0.01349,3829
255,2066.47639,2066-23-06,-0.00669,-0.01337,3750
256,2066.48186,2066-25-06,-0.00579,-0.01322,3658
257,2066.48734,2066-27-06,-0.00487,-0.01304,3552
258,2066.49281,2066-29-06,-0.00394,-0.01282,3431
259,2066.49829,2066-01-07,-0.00300,-0.01257,3295
260,2066.50103,2066-02-07,-0.00253,-0.01244,3222
261,2066.50376,2066-03-07,-0.00205,-0.01229,3145
262,2066.50650,2066-04-07,-0.00158,-0.01213,3064
263,2066.50924,2066-05-07,-0.00110,-0.01197,2980
264,2066.51198,2066-06-07,-0.00062,-0.01180,2893
265,2066.51472,2066-07-07,-0.00014,-0.01162,2803
266,2066.51745,2066-08-07,0.00034,-0.01143,2710
267,2066.52019,2066-09-07,0.00081,-0.01123,2615
268,2066.52293,2066-10-07,0.00129,-0.01102,2517
269,2066.52567,2066-11-07,0.00177,-0.01081,2416
270,2066.52841,2066-12-07,0.00224,-0.01058,2314
271,2066.53114,2066-13-07,0.00271,-0.01035,2211
272,2066.53388,2066-14-07,0.00318,-0.01011,2106
273,2066.53662,2066-15-07,0.00365,-0.00987,2000
274,2066.54209,2066-17-07,0.00457,-0.00935,1786
275,2066.54757,2066-19-07,0.00549,-0.00881,1571
276,2066.55305,2066-21-07,0.00638,-0.00824,1359
277,2066.55852,2066-23-07,0.00726,-0.00765,1150
278,2066.57769,2066-30-07,0.01016,-0.00545,474
279,2066.59685,2066-06-08,0.01279,-0.00310,-90
280,2066.67899,2066-05-09,0.02117,0.00716,-1369
281,2066.76112,2066-05-10,0.02641,0.01654,-1742
282,2066.84326,2066-04-11,0.02992,0.02487,-1841
283,2066.92539,2066-04-12,0.03239,0.03237,-1848
284,2067.00753,2067-03-01,0.03418,0.03919,-1820
285,2067.08966,2067-02-02,0.03549,0.04546,-1780
286,2067.17180,2067-04-03,0.03644,0.05129,-1734
287,2067.25394,2067-03-04,0.03712,0.05673,-1688
288,2067.33607,2067-03-05,0.03759,0.06184,-1643
289,2067.41821,2067-02-06,0.03788,0.06666,-1599
290,2067.50034,2067-02-07,0.03802,0.07123,-1557
291,2067.99316,2067-29-12,0.03684,0.09453,-1342
292,2068.48597,2068-26-06,0.03362,0.11279,-1176
293,2068.97878,2068-23-12,0.02934,0.12758,-1040
294,2069.47159,2069-22-06,0.02444,0.13970,-925
295,2069.96441,2069-19-12,0.01915,0.14966,-823
296,2070.45722,2070-16-06,0.01363,0.15780,-732
297,2070.95003,2070-13-12,0.00796,0.16433,-648
298,2071.44285,2071-11-06,0.00222,0.16945,-569
299,2071.93566,2071-08-12,-0.00354,0.17326,-494
300,2072.42847,2072-05-06,-0.00928,0.17587,-422
301,2072.92129,2072-02-12,-0.01495,0.17736,-353
302,2073.41410,2073-01-06,-0.02054,0.17777,-284
303,2073.90691,2073-28-11,-0.02602,0.17715,-216
304,2074.39973,2074-26-05,-0.03134,0.17554,-149
