,t,t_date,RA,Dec,VR
41,2019.19370,2019-12-03,0.03821,0.06207,-1617
42,2019.27584,2019-11-04,0.03854,0.06689,-1577
43,2019.35797,2019-11-05,0.03871,0.07146,-1555
44,2019.85079,2019-07-11,0.03779,0.09477,-1343
45,2020.34360,2020-05-05,0.03476,0.11309,-1164
46,2020.83641,2020-01-11,0.03066,0.12792,-1036
47,2021.32923,2021-01-05,0.02591,0.14011,-925
48,2021.82204,2021-28-10,0.02076,0.15016,-797
49,2022.31485,2022-25-04,0.01534,0.15835,-741
50,2022.80767,2022-22-10,0.00978,0.16495,-657
51,2023.30048,2023-20-04,0.00411,0.17012,-565
52,2023.79329,2023-17-10,-0.00160,0.17399,-503
53,2024.28611,2024-14-04,-0.00728,0.17667,-420
54,2024.77892,2024-11-10,-0.01290,0.17820,-368
55,2025.27173,2025-10-04,-0.01846,0.17866,-274
56,2025.76454,2025-07-10,-0.02392,0.17808,-224
57,2026.25736,2026-04-04,-0.02927,0.17651,-165
58,2026.75017,2026-01-10,-0.03442,0.17394,-75
59,2027.24298,2027-30-03,-0.03937,0.17042,-14
60,2027.73580,2027-26-09,-0.04413,0.16589,62
61,2028.22861,2028-24-03,-0.04862,0.16042,133
62,2028.72142,2028-20-09,-0.05281,0.15394,208
63,2029.21424,2029-20-03,-0.05668,0.14647,286
64,2029.70705,2029-16-09,-0.06009,0.13791,393
65,2030.19986,2030-14-03,-0.06305,0.12826,481
66,2030.69268,2030-10-09,-0.06543,0.11745,590
67,2031.18549,2031-09-03,-0.06709,0.10535,708
68,2031.67830,2031-05-09,-0.06787,0.09182,847
69,2032.17112,2032-03-03,-0.06746,0.07674,1047
70,2032.66393,2032-30-08,-0.06540,0.05978,1257
71,2033.15674,2033-27-02,-0.06091,0.04061,1589
72,2033.23888,2033-29-03,-0.05981,0.03716,1666
73,2033.32101,2033-28-04,-0.05857,0.03363,1728
74,2033.40315,2033-28-05,-0.05719,0.03002,1811
75,2033.48528,2033-27-06,-0.05567,0.02633,1916
76,2033.56742,2033-27-07,-0.05394,0.02253,1991
77,2033.64956,2033-26-08,-0.05198,0.01865,2118
78,2033.73169,2033-25-09,-0.04974,0.01464,2249
79,2033.81383,2033-25-10,-0.04721,0.01058,2401
80,2033.89596,2033-24-11,-0.04428,0.00643,2578
81,2033.97810,2033-24-12,-0.04084,0.00216,2799
82,2034.06023,2034-22-01,-0.03672,-0.00209,3055
83,2034.14237,2034-21-02,-0.03167,-0.00628,3389
84,2034.22450,2034-23-03,-0.02522,-0.01022,3790
85,2034.30664,2034-22-04,-0.01651,-0.01316,4135
86,2034.32580,2034-29-04,-0.01400,-0.01351,4144
87,2034.34497,2034-06-05,-0.01129,-0.01368,4120
88,2034.36413,2034-13-05,-0.00836,-0.01355,3957
89,2034.36961,2034-15-05,-0.00750,-0.01344,3860
90,2034.37509,2034-17-05,-0.00661,-0.01333,3807
91,2034.38056,2034-19-05,-0.00569,-0.01319,3713
92,2034.38604,2034-21-05,-0.00478,-0.01301,3576
93,2034.39151,2034-23-05,-0.00384,-0.01279,3461
94,2034.39699,2034-25-05,-0.00288,-0.01252,3340
95,2034.40246,2034-27-05,-0.00196,-0.01225,3179
96,2034.40520,2034-28-05,-0.00147,-0.01210,3071
97,2034.40794,2034-29-05,-0.00100,-0.01192,3007
98,2034.41068,2034-30-05,-0.00052,-0.01175,2915
99,2034.41342,2034-31-05,-0.00004,-0.01157,2821
100,2034.41615,2034-01-06,0.00043,-0.01137,2727
101,2034.41889,2034-02-06,0.00093,-0.01117,2640
102,2034.42163,2034-03-06,0.00140,-0.01097,2542
103,2034.42437,2034-04-06,0.00187,-0.01075,2425
104,2034.42710,2034-05-06,0.00233,-0.01054,2339
105,2034.42984,2034-06-06,0.00282,-0.01032,2207
106,2034.43258,2034-07-06,0.00327,-0.01006,2116
107,2034.43532,2034-08-06,0.00377,-0.00979,2002
108,2034.43806,2034-09-06,0.00423,-0.00956,1903
109,2034.44079,2034-10-06,0.00466,-0.00930,1790
110,2034.44627,2034-12-06,0.00559,-0.00876,1579
111,2034.45175,2034-14-06,0.00650,-0.00820,1370
112,2034.45722,2034-16-06,0.00737,-0.00760,1152
113,2034.46270,2034-18-06,0.00821,-0.00699,936
114,2034.48186,2034-25-06,0.01103,-0.00476,324
115,2034.50103,2034-02-07,0.01357,-0.00236,-217
116,2034.58316,2034-01-08,0.02169,0.00781,-1380
117,2034.66530,2034-31-08,0.02682,0.01710,-1707
118,2034.74743,2034-30-09,0.03027,0.02536,-1807
119,2034.82957,2034-30-10,0.03274,0.03280,-1822
120,2034.91170,2034-29-11,0.03452,0.03955,-1794
121,2034.99384,2034-29-12,0.03584,0.04583,-1749
122,2035.07598,2035-28-01,0.03682,0.05161,-1705
123,2035.15811,2035-27-02,0.03751,0.05705,-1676
124,2035.24025,2035-29-03,0.03801,0.06213,-1612
125,2035.32238,2035-28-04,0.03832,0.06695,-1581
126,2035.40452,2035-28-05,0.03847,0.07150,-1533
127,2035.89733,2035-24-11,0.03744,0.09480,-1336
128,2036.39014,2036-22-05,0.03437,0.11307,-1171
129,2036.88296,2036-18-11,0.03019,0.12789,-1026
130,2037.37577,2037-18-05,0.02540,0.14005,-913
131,2037.86858,2037-14-11,0.02019,0.15003,-831
132,2038.36140,2038-12-05,0.01475,0.15820,-751
133,2038.85421,2038-08-11,0.00912,0.16478,-634
134,2039.34702,2039-07-05,0.00344,0.16993,-566
135,2039.83984,2039-03-11,-0.00226,0.17377,-492
136,2040.33265,2040-01-05,-0.00796,0.17641,-413
137,2040.82546,2040-28-10,-0.01362,0.17792,-356
138,2041.31828,2041-27-04,-0.01920,0.17836,-286
139,2041.81109,2041-24-10,-0.02466,0.17778,-221
140,2042.30390,2042-21-04,-0.02999,0.17617,-161
141,2042.79671,2042-18-10,-0.03513,0.17359,-66
142,2043.28953,2043-16-04,-0.04011,0.17003,-19
143,2043.78234,2043-13-10,-0.04484,0.16553,72
144,2044.27515,2044-10-04,-0.04931,0.16004,147
145,2044.76797,2044-07-10,-0.05347,0.15358,225
146,2045.26078,2045-06-04,-0.05730,0.14607,293
147,2045.75359,2045-03-10,-0.06071,0.13752,393
148,2046.24641,2046-31-03,-0.06364,0.12788,475
149,2046.73922,2046-27-09,-0.06597,0.11705,594
150,2047.23203,2047-26-03,-0.06760,0.10496,714
151,2047.72485,2047-22-09,-0.06830,0.09146,839
152,2048.21766,2048-20-03,-0.06785,0.07637,1043
153,2048.71047,2048-16-09,-0.06574,0.05947,1252
154,2049.20329,2049-16-03,-0.06114,0.04034,1588
155,2049.28542,2049-15-04,-0.06002,0.03689,1649
156,2049.36756,2049-15-05,-0.05878,0.03339,1723
157,2049.44969,2049-14-06,-0.05737,0.02976,1831
158,2049.53183,2049-14-07,-0.05584,0.02610,1895
159,2049.61396,2049-13-08,-0.05409,0.02231,2021
160,2049.69610,2049-12-09,-0.05212,0.01843,2133
161,2049.77823,2049-12-10,-0.04987,0.01445,2265
162,2049.86037,2049-11-11,-0.04730,0.01041,2398
163,2049.94251,2049-11-12,-0.04435,0.00625,2584
164,2050.02464,2050-09-01,-0.04089,0.00201,2790
165,2050.10678,2050-08-02,-0.03676,-0.00223,3058
166,2050.18891,2050-10-03,-0.03168,-0.00642,3387
167,2050.27105,2050-09-04,-0.02521,-0.01029,3777
168,2050.35318,2050-09-05,-0.01646,-0.01321,4132
169,2050.37235,2050-16-05,-0.01397,-0.01355,4136
170,2050.39151,2050-23-05,-0.01122,-0.01369,4094
171,2050.41068,2050-30-05,-0.00830,-0.01357,3943
172,2050.41615,2050-01-06,-0.00743,-0.01347,3879
173,2050.42163,2050-03-06,-0.00654,-0.01333,3778
174,2050.42710,2050-05-06,-0.00563,-0.01318,3691
175,2050.43258,2050-07-06,-0.00472,-0.01299,3578
176,2050.43806,2050-09-06,-0.00377,-0.01278,3455
177,2050.44353,2050-11-06,-0.00282,-0.01253,3329
178,2050.44627,2050-12-06,-0.00236,-0.01236,3235
179,2050.44901,2050-13-06,-0.00188,-0.01223,3171
180,2050.45175,2050-14-06,-0.00138,-0.01210,3068
181,2050.45448,2050-15-06,-0.00094,-0.01192,2993
182,2050.45722,2050-16-06,-0.00044,-0.01173,2900
183,2050.45996,2050-17-06,0.00001,-0.01155,2793
184,2050.46270,2050-18-06,0.00050,-0.01135,2702
185,2050.46543,2050-19-06,0.00098,-0.01117,2620
186,2050.46817,2050-20-06,0.00147,-0.01095,2519
187,2050.47091,2050-21-06,0.00192,-0.01074,2390
188,2050.47365,2050-22-06,0.00239,-0.01049,2304
189,2050.47639,2050-23-06,0.00287,-0.01026,2204
190,2050.47912,2050-24-06,0.00334,-0.01002,2081
191,2050.48186,2050-25-06,0.00382,-0.00978,1978
192,2050.48734,2050-27-06,0.00474,-0.00925,1763
193,2050.49281,2050-29-06,0.00566,-0.00872,1550
194,2050.49829,2050-01-07,0.00654,-0.00816,1351
195,2050.50376,2050-03-07,0.00741,-0.00754,1120
196,2050.52293,2050-10-07,0.01030,-0.00536,448
197,2050.54209,2050-17-07,0.01293,-0.00300,-101
198,2050.62423,2050-16-08,0.02128,0.00727,-1359
199,2050.70637,2050-15-09,0.02650,0.01661,-1729
200,2050.78850,2050-15-10,0.03002,0.02491,-1816
201,2050.87064,2050-14-11,0.03253,0.03242,-1840
202,2050.95277,2050-14-12,0.03430,0.03922,-1793
203,2051.03491,2051-13-01,0.03564,0.04552,-1751
204,2051.11704,2051-12-02,0.03664,0.05132,-1721
205,2051.19918,2051-14-03,0.03730,0.05675,-1673
206,2051.28131,2051-13-04,0.03779,0.06186,-1630
207,2051.36345,2051-13-05,0.03809,0.06668,-1593
208,2051.44559,2051-12-06,0.03824,0.07125,-1564
209,2051.93840,2051-09-12,0.03714,0.09455,-1326
210,2052.43121,2052-06-06,0.03401,0.11286,-1171
211,2052.92402,2052-03-12,0.02978,0.12769,-1030
212,2053.41684,2053-02-06,0.02492,0.13983,-945
213,2053.90965,2053-29-11,0.01969,0.14983,-834
214,2054.40246,2054-27-05,0.01420,0.15797,-746
215,2054.89528,2054-23-11,0.00856,0.16455,-646
216,2055.38809,2055-22-05,0.00285,0.16966,-567
217,2055.88090,2055-18-11,-0.00290,0.17351,-482
218,2056.37372,2056-16-05,-0.00860,0.17613,-416
219,2056.86653,2056-12-11,-0.01425,0.17765,-360
220,2057.35934,2057-12-05,-0.01984,0.17807,-268
221,2057.85216,2057-08-11,-0.02532,0.17746,-227
222,2058.34497,2058-06-05,-0.03063,0.17587,-144
223,2058.83778,2058-02-11,-0.03581,0.17327,-74
224,2059.33060,2059-01-05,-0.04077,0.16973,-2
225,2059.82341,2059-28-10,-0.04550,0.16520,79
226,2060.31622,2060-25-04,-0.04996,0.15972,137
227,2060.80903,2060-22-10,-0.05410,0.15323,212
228,2061.30185,2061-21-04,-0.05790,0.14574,267
229,2061.79466,2061-18-10,-0.06130,0.13723,407
230,2062.28747,2062-15-04,-0.06418,0.12761,500
231,2062.78029,2062-12-10,-0.06648,0.11679,587
232,2063.27310,2063-10-04,-0.06807,0.10470,710
233,2063.76591,2063-07-10,-0.06876,0.09125,879
234,2064.25873,2064-04-04,-0.06824,0.07621,1049
235,2064.75154,2064-01-10,-0.06606,0.05937,1252
236,2065.24435,2065-31-03,-0.06143,0.04028,1585
237,2065.32649,2065-30-04,-0.06032,0.03686,1629
238,2065.40862,2065-30-05,-0.05905,0.03336,1728
239,2065.49076,2065-29-06,-0.05766,0.02975,1812
240,2065.57290,2065-29-07,-0.05610,0.02611,1917
241,2065.65503,2065-28-08,-0.05436,0.02235,1993
242,2065.73717,2065-27-09,-0.05238,0.01848,2123
243,2065.81930,2065-27-10,-0.05016,0.01451,2250
244,2065.90144,2065-26-11,-0.04758,0.01048,2408
245,2065.98357,2065-26-12,-0.04463,0.00633,2576
246,2066.06571,2066-24-01,-0.04119,0.00214,2773
247,2066.14784,2066-23-02,-0.03710,-0.00209,3059
248,2066.22998,2066-25-03,-0.03205,-0.00626,3380
249,2066.31211,2066-24-04,-0.02567,-0.01013,3758
250,2066.39425,2066-24-05,-0.01708,-0.01311,4114
251,2066.41342,2066-31-05,-0.01465,-0.01349,4153
252,2066.43258,2066-07-06,-0.01196,-0.01370,4115
253,2066.45175,2066-14-06,-0.00910,-0.01364,3992
254,2066.47091,2066-21-06,-0.00602,-0.01327,3717
255,2066.47639,2066-23-06,-0.00510,-0.01310,3615
256,2066.48186,2066-25-06,-0.00417,-0.01289,3490
257,2066.48734,2066-27-06,-0.00325,-0.01265,3372
258,2066.49281,2066-29-06,-0.00230,-0.01235,3226
259,2066.49555,2066-30-06,-0.00182,-0.01220,3137
260,2066.49829,2066-01-07,-0.00135,-0.01205,3042
261,2066.50103,2066-02-07,-0.00087,-0.01187,2943
262,2066.50376,2066-03-07,-0.00038,-0.01169,2861
263,2066.50650,2066-04-07,0.00010,-0.01152,2764
264,2066.50924,2066-05-07,0.00057,-0.01133,2692
265,2066.51198,2066-06-07,0.00106,-0.01113,2586
266,2066.51472,2066-07-07,0.00153,-0.01093,2487
267,2066.51745,2066-08-07,0.00200,-0.01068,2379
268,2066.52019,2066-09-07,0.00248,-0.01048,2275
269,2066.52293,2066-10-07,0.00296,-0.01023,2182
270,2066.52567,2066-11-07,0.00341,-0.01000,2075
271,2066.52841,2066-12-07,0.00389,-0.00975,1964
272,2066.53114,2066-13-07,0.00434,-0.00949,1864
273,2066.53662,2066-15-07,0.00525,-0.00897,1649
274,2066.54209,2066-17-07,0.00615,-0.00839,1431
275,2066.54757,2066-19-07,0.00704,-0.00780,1188
276,2066.55305,2066-21-07,0.00790,-0.00720,1011
277,2066.57221,2066-28-07,0.01074,-0.00494,343
278,2066.59138,2066-04-08,0.01331,-0.00258,-191
279,2066.67351,2066-03-09,0.02150,0.00766,-1403
280,2066.75565,2066-03-10,0.02662,0.01696,-1753
281,2066.83778,2066-02-11,0.03007,0.02526,-1820
282,2066.91992,2066-02-12,0.03250,0.03273,-1824
283,2067.00205,2067-01-01,0.03425,0.03950,-1817
284,2067.08419,2067-31-01,0.03554,0.04578,-1765
285,2067.16632,2067-02-03,0.03649,0.05155,-1730
286,2067.24846,2067-01-04,0.03717,0.05700,-1691
287,2067.33060,2067-01-05,0.03761,0.06210,-1629
288,2067.41273,2067-31-05,0.03791,0.06690,-1594
289,2067.49487,2067-30-06,0.03801,0.07147,-1568
290,2067.98768,2067-27-12,0.03680,0.09471,-1334
291,2068.48049,2068-24-06,0.03359,0.11294,-1173
292,2068.97331,2068-21-12,0.02931,0.12770,-1039
293,2069.46612,2069-20-06,0.02439,0.13981,-915
294,2069.95893,2069-17-12,0.01910,0.14973,-843
295,2070.45175,2070-14-06,0.01356,0.15786,-700
296,2070.94456,2070-11-12,0.00791,0.16439,-630
297,2071.43737,2071-09-06,0.00217,0.16949,-578
298,2071.93018,2071-06-12,-0.00358,0.17329,-507
299,2072.42300,2072-03-06,-0.00934,0.17589,-422
300,2072.91581,2072-30-11,-0.01503,0.17737,-338
301,2073.40862,2073-30-05,-0.02060,0.17777,-292
302,2073.90144,2073-26-11,-0.02609,0.17714,-219
303,2074.39425,2074-24-05,-0.03139,0.17552,-151
