,t,t_date,RA,Dec,VR
59,2027.24298,2027-30-03,-0.03938,0.17041,-34
60,2027.73580,2027-26-09,-0.04415,0.16592,61
61,2028.22861,2028-24-03,-0.04861,0.16042,144
62,2028.72142,2028-20-09,-0.05282,0.15395,190
63,2029.21424,2029-20-03,-0.05666,0.14645,288
64,2029.70705,2029-16-09,-0.06010,0.13791,374
65,2030.19986,2030-14-03,-0.06304,0.12827,486
66,2030.69268,2030-10-09,-0.06544,0.11743,577
67,2031.18549,2031-09-03,-0.06708,0.10532,713
68,2031.67830,2031-05-09,-0.06786,0.09182,846
69,2032.17112,2032-03-03,-0.06745,0.07672,1037
70,2032.66393,2032-30-08,-0.06542,0.05979,1279
71,2033.15674,2033-27-02,-0.06091,0.04063,1592
72,2033.23888,2033-29-03,-0.05978,0.03718,1649
73,2033.32101,2033-28-04,-0.05858,0.03363,1718
74,2033.40315,2033-28-05,-0.05720,0.03004,1808
75,2033.48528,2033-27-06,-0.05566,0.02631,1879
76,2033.56742,2033-27-07,-0.05394,0.02253,1996
77,2033.64956,2033-26-08,-0.05198,0.01863,2112
78,2033.73169,2033-25-09,-0.04974,0.01467,2245
79,2033.81383,2033-25-10,-0.04721,0.01057,2397
80,2033.89596,2033-24-11,-0.04426,0.00644,2567
81,2033.97810,2033-24-12,-0.04085,0.00216,2787
82,2034.06023,2034-22-01,-0.03673,-0.00208,3015
83,2034.14237,2034-21-02,-0.03166,-0.00630,3364
84,2034.22450,2034-23-03,-0.02523,-0.01023,3733
85,2034.30664,2034-22-04,-0.01649,-0.01315,4079
86,2034.32580,2034-29-04,-0.01401,-0.01350,4108
87,2034.34497,2034-06-05,-0.01129,-0.01365,4066
88,2034.36413,2034-13-05,-0.00836,-0.01355,3902
89,2034.36961,2034-15-05,-0.00751,-0.01344,3851
90,2034.37509,2034-17-05,-0.00660,-0.01333,3774
91,2034.38056,2034-19-05,-0.00570,-0.01319,3672
92,2034.38604,2034-21-05,-0.00477,-0.01301,3565
93,2034.39151,2034-23-05,-0.00385,-0.01277,3456
94,2034.39699,2034-25-05,-0.00291,-0.01254,3301
95,2034.40246,2034-27-05,-0.00196,-0.01225,3156
96,2034.40520,2034-28-05,-0.00145,-0.01210,3068
97,2034.40794,2034-29-05,-0.00099,-0.01194,2973
98,2034.41068,2034-30-05,-0.00050,-0.01175,2883
99,2034.41342,2034-31-05,-0.00004,-0.01157,2807
100,2034.41615,2034-01-06,0.00045,-0.01138,2689
101,2034.41889,2034-02-06,0.00093,-0.01119,2621
102,2034.42163,2034-03-06,0.00139,-0.01099,2497
103,2034.42437,2034-04-06,0.00188,-0.01075,2411
104,2034.42710,2034-05-06,0.00233,-0.01052,2297
105,2034.42984,2034-06-06,0.00281,-0.01030,2205
106,2034.43258,2034-07-06,0.00329,-0.01006,2087
107,2034.43532,2034-08-06,0.00375,-0.00981,1997
108,2034.43806,2034-09-06,0.00423,-0.00957,1899
109,2034.44079,2034-10-06,0.00468,-0.00929,1782
110,2034.44627,2034-12-06,0.00559,-0.00876,1581
111,2034.45175,2034-14-06,0.00648,-0.00819,1361
112,2034.45722,2034-16-06,0.00735,-0.00760,1119
113,2034.46270,2034-18-06,0.00822,-0.00700,943
114,2034.48186,2034-25-06,0.01104,-0.00475,329
115,2034.50103,2034-02-07,0.01358,-0.00239,-228
116,2034.58316,2034-01-08,0.02171,0.00783,-1400
117,2034.66530,2034-31-08,0.02681,0.01710,-1736
118,2034.74743,2034-30-09,0.03027,0.02535,-1829
119,2034.82957,2034-30-10,0.03274,0.03282,-1845
120,2034.91170,2034-29-11,0.03454,0.03959,-1807
121,2034.99384,2034-29-12,0.03587,0.04582,-1754
122,2035.07598,2035-28-01,0.03683,0.05161,-1722
123,2035.15811,2035-27-02,0.03753,0.05705,-1671
124,2035.24025,2035-29-03,0.03800,0.06213,-1641
125,2035.32238,2035-28-04,0.03832,0.06696,-1591
126,2035.40452,2035-28-05,0.03849,0.07150,-1542
127,2035.89733,2035-24-11,0.03745,0.09480,-1330
128,2036.39014,2036-22-05,0.03435,0.11308,-1156
129,2036.88296,2036-18-11,0.03020,0.12788,-1038
130,2037.37577,2037-18-05,0.02540,0.14006,-914
131,2037.86858,2037-14-11,0.02019,0.15004,-821
132,2038.36140,2038-12-05,0.01476,0.15822,-731
133,2038.85421,2038-08-11,0.00914,0.16478,-642
134,2039.34702,2039-07-05,0.00346,0.16992,-564
135,2039.83984,2039-03-11,-0.00228,0.17378,-492
136,2040.33265,2040-01-05,-0.00798,0.17643,-409
137,2040.82546,2040-28-10,-0.01359,0.17793,-349
138,2041.31828,2041-27-04,-0.01919,0.17835,-298
139,2041.81109,2041-24-10,-0.02466,0.17775,-221
140,2042.30390,2042-21-04,-0.02999,0.17618,-121
141,2042.79671,2042-18-10,-0.03515,0.17360,-88
142,2043.28953,2043-16-04,-0.04009,0.17006,-18
143,2043.78234,2043-13-10,-0.04484,0.16553,65
144,2044.27515,2044-10-04,-0.04931,0.16003,121
145,2044.76797,2044-07-10,-0.05346,0.15354,187
146,2045.26078,2045-06-04,-0.05732,0.14607,284
147,2045.75359,2045-03-10,-0.06072,0.13754,367
148,2046.24641,2046-31-03,-0.06363,0.12786,485
149,2046.73922,2046-27-09,-0.06595,0.11706,586
150,2047.23203,2047-26-03,-0.06759,0.10496,706
151,2047.72485,2047-22-09,-0.06829,0.09146,863
152,2048.21766,2048-20-03,-0.06784,0.07638,1024
153,2048.71047,2048-16-09,-0.06574,0.05947,1259
154,2049.20329,2049-16-03,-0.06115,0.04035,1583
155,2049.28542,2049-15-04,-0.06003,0.03688,1665
156,2049.36756,2049-15-05,-0.05877,0.03338,1722
157,2049.44969,2049-14-06,-0.05736,0.02977,1806
158,2049.53183,2049-14-07,-0.05584,0.02608,1896
159,2049.61396,2049-13-08,-0.05408,0.02231,1990
160,2049.69610,2049-12-09,-0.05211,0.01843,2087
161,2049.77823,2049-12-10,-0.04986,0.01446,2241
162,2049.86037,2049-11-11,-0.04730,0.01039,2385
163,2049.94251,2049-11-12,-0.04436,0.00623,2548
164,2050.02464,2050-09-01,-0.04089,0.00202,2784
165,2050.10678,2050-08-02,-0.03676,-0.00221,3048
166,2050.18891,2050-10-03,-0.03167,-0.00642,3351
167,2050.27105,2050-09-04,-0.02520,-0.01030,3722
168,2050.35318,2050-09-05,-0.01647,-0.01320,4075
169,2050.37235,2050-16-05,-0.01397,-0.01356,4099
170,2050.39151,2050-23-05,-0.01125,-0.01368,4058
171,2050.41068,2050-30-05,-0.00831,-0.01356,3887
172,2050.41615,2050-01-06,-0.00743,-0.01346,3829
173,2050.42163,2050-03-06,-0.00653,-0.01335,3745
174,2050.42710,2050-05-06,-0.00562,-0.01317,3658
175,2050.43258,2050-07-06,-0.00471,-0.01299,3527
176,2050.43806,2050-09-06,-0.00378,-0.01276,3430
177,2050.44353,2050-11-06,-0.00283,-0.01254,3278
178,2050.44627,2050-12-06,-0.00238,-0.01238,3196
179,2050.44901,2050-13-06,-0.00190,-0.01224,3149
180,2050.45175,2050-14-06,-0.00142,-0.01206,3032
181,2050.45448,2050-15-06,-0.00094,-0.01190,2960
182,2050.45722,2050-16-06,-0.00044,-0.01174,2869
183,2050.45996,2050-17-06,0.00002,-0.01155,2776
184,2050.46270,2050-18-06,0.00050,-0.01136,2679
185,2050.46543,2050-19-06,0.00099,-0.01115,2584
186,2050.46817,2050-20-06,0.00145,-0.01094,2498
187,2050.47091,2050-21-06,0.00193,-0.01072,2391
188,2050.47365,2050-22-06,0.00240,-0.01051,2283
189,2050.47639,2050-23-06,0.00289,-0.01028,2202
190,2050.47912,2050-24-06,0.00337,-0.01004,2074
191,2050.48186,2050-25-06,0.00382,-0.00980,1981
192,2050.48734,2050-27-06,0.00472,-0.00926,1757
193,2050.49281,2050-29-06,0.00566,-0.00871,1564
194,2050.49829,2050-01-07,0.00655,-0.00814,1325
195,2050.50376,2050-03-07,0.00742,-0.00754,1136
196,2050.52293,2050-10-07,0.01030,-0.00535,460
197,2050.54209,2050-17-07,0.01292,-0.00300,-110
198,2050.62423,2050-16-08,0.02129,0.00725,-1370
199,2050.70637,2050-15-09,0.02649,0.01660,-1722
200,2050.78850,2050-15-10,0.03004,0.02492,-1824
201,2050.87064,2050-14-11,0.03251,0.03240,-1832
202,2050.95277,2050-14-12,0.03430,0.03921,-1810
203,2051.03491,2051-13-01,0.03565,0.04551,-1770
204,2051.11704,2051-12-02,0.03662,0.05129,-1726
205,2051.19918,2051-14-03,0.03731,0.05676,-1680
206,2051.28131,2051-13-04,0.03779,0.06187,-1650
207,2051.36345,2051-13-05,0.03808,0.06669,-1581
208,2051.44559,2051-12-06,0.03824,0.07127,-1553
209,2051.93840,2051-09-12,0.03715,0.09458,-1318
210,2052.43121,2052-06-06,0.03402,0.11286,-1181
211,2052.92402,2052-03-12,0.02977,0.12770,-1045
212,2053.41684,2053-02-06,0.02494,0.13985,-904
213,2053.90965,2053-29-11,0.01970,0.14981,-827
214,2054.40246,2054-27-05,0.01421,0.15797,-750
215,2054.89528,2054-23-11,0.00858,0.16454,-651
216,2055.38809,2055-22-05,0.00285,0.16968,-563
217,2055.88090,2055-18-11,-0.00288,0.17352,-503
218,2056.37372,2056-16-05,-0.00860,0.17615,-423
219,2056.86653,2056-12-11,-0.01428,0.17762,-358
220,2057.35934,2057-12-05,-0.01985,0.17806,-289
221,2057.85216,2057-08-11,-0.02532,0.17747,-206
222,2058.34497,2058-06-05,-0.03064,0.17586,-142
223,2058.83778,2058-02-11,-0.03583,0.17327,-80
224,2059.33060,2059-01-05,-0.04077,0.16972,-20
225,2059.82341,2059-28-10,-0.04550,0.16522,53
226,2060.31622,2060-25-04,-0.04994,0.15971,140
227,2060.80903,2060-22-10,-0.05411,0.15326,195
228,2061.30185,2061-21-04,-0.05792,0.14579,299
229,2061.79466,2061-18-10,-0.06127,0.13723,380
230,2062.28747,2062-15-04,-0.06417,0.12759,473
231,2062.78029,2062-12-10,-0.06649,0.11679,573
232,2063.27310,2063-10-04,-0.06807,0.10470,699
233,2063.76591,2063-07-10,-0.06876,0.09125,866
234,2064.25873,2064-04-04,-0.06824,0.07620,1044
235,2064.75154,2064-01-10,-0.06609,0.05934,1269
236,2065.24435,2065-31-03,-0.06143,0.04028,1576
237,2065.32649,2065-30-04,-0.06032,0.03686,1651
238,2065.40862,2065-30-05,-0.05907,0.03335,1739
239,2065.49076,2065-29-06,-0.05767,0.02976,1802
240,2065.57290,2065-29-07,-0.05611,0.02612,1885
241,2065.65503,2065-28-08,-0.05436,0.02232,1993
242,2065.73717,2065-27-09,-0.05238,0.01846,2109
243,2065.81930,2065-27-10,-0.05016,0.01452,2244
244,2065.90144,2065-26-11,-0.04759,0.01047,2381
245,2065.98357,2065-26-12,-0.04465,0.00635,2552
246,2066.06571,2066-24-01,-0.04120,0.00213,2763
247,2066.14784,2066-23-02,-0.03708,-0.00209,3008
248,2066.22998,2066-25-03,-0.03204,-0.00627,3310
249,2066.31211,2066-24-04,-0.02566,-0.01017,3707
250,2066.39425,2066-24-05,-0.01710,-0.01310,4065
251,2066.41342,2066-31-05,-0.01463,-0.01349,4088
252,2066.43258,2066-07-06,-0.01199,-0.01370,4049
253,2066.45175,2066-14-06,-0.00910,-0.01363,3917
254,2066.47091,2066-21-06,-0.00602,-0.01327,3699
255,2066.47639,2066-23-06,-0.00510,-0.01308,3588
256,2066.48186,2066-25-06,-0.00416,-0.01287,3463
257,2066.48734,2066-27-06,-0.00324,-0.01265,3342
258,2066.49281,2066-29-06,-0.00231,-0.01238,3189
259,2066.49555,2066-30-06,-0.00183,-0.01223,3095
260,2066.49829,2066-01-07,-0.00134,-0.01206,3030
261,2066.50103,2066-02-07,-0.00088,-0.01190,2937
262,2066.50376,2066-03-07,-0.00038,-0.01172,2863
263,2066.50650,2066-04-07,0.00008,-0.01154,2742
264,2066.50924,2066-05-07,0.00057,-0.01133,2665
265,2066.51198,2066-06-07,0.00104,-0.01115,2565
266,2066.51472,2066-07-07,0.00152,-0.01091,2468
267,2066.51745,2066-08-07,0.00200,-0.01069,2370
268,2066.52019,2066-09-07,0.00249,-0.01046,2260
269,2066.52293,2066-10-07,0.00294,-0.01024,2157
270,2066.52567,2066-11-07,0.00342,-0.01000,2052
271,2066.52841,2066-12-07,0.00388,-0.00975,1937
272,2066.53114,2066-13-07,0.00433,-0.00948,1836
273,2066.53662,2066-15-07,0.00525,-0.00893,1616
274,2066.54209,2066-17-07,0.00616,-0.00839,1431
275,2066.54757,2066-19-07,0.00703,-0.00780,1201
276,2066.55305,2066-21-07,0.00791,-0.00719,1014
277,2066.57221,2066-28-07,0.01076,-0.00496,331
278,2066.59138,2066-04-08,0.01332,-0.00258,-207
279,2066.67351,2066-03-09,0.02150,0.00766,-1393
280,2066.75565,2066-03-10,0.02661,0.01698,-1737
281,2066.83778,2066-02-11,0.03006,0.02528,-1842
282,2066.91992,2066-02-12,0.03251,0.03274,-1850
283,2067.00205,2067-01-01,0.03427,0.03952,-1822
284,2067.08419,2067-31-01,0.03554,0.04577,-1775
285,2067.16632,2067-02-03,0.03648,0.05158,-1733
286,2067.24846,2067-01-04,0.03716,0.05701,-1692
287,2067.33060,2067-01-05,0.03762,0.06212,-1649
288,2067.41273,2067-31-05,0.03788,0.06689,-1601
289,2067.49487,2067-30-06,0.03802,0.07148,-1536
290,2067.98768,2067-27-12,0.03682,0.09472,-1320
291,2068.48049,2068-24-06,0.03360,0.11294,-1180
292,2068.97331,2068-21-12,0.02930,0.12768,-1042
293,2069.46612,2069-20-06,0.02440,0.13980,-918
294,2069.95893,2069-17-12,0.01911,0.14975,-845
295,2070.45175,2070-14-06,0.01356,0.15787,-729
296,2070.94456,2070-11-12,0.00792,0.16441,-640
297,2071.43737,2071-09-06,0.00216,0.16950,-586
298,2071.93018,2071-06-12,-0.00357,0.17329,-497
299,2072.42300,2072-03-06,-0.00935,0.17589,-440
300,2072.91581,2072-30-11,-0.01502,0.17738,-348
301,2073.40862,2073-30-05,-0.02061,0.17778,-289
302,2073.90144,2073-26-11,-0.02607,0.17714,-226
303,2074.39425,2074-24-05,-0.03140,0.17551,-153
